ztop,Age,Deuterium,dT
1317.8,94385.83,-422.9,-5.41
1318.35,94440.42,-415.8,-4.24
1318.9,94489.67,-420,-4.93
1319.45,94542.12,-420.1,-4.95
1320,94594.75,-420.7,-5.05
1320.55,94648.56,-427.2,-6.12
1321.1,94705.11,-418.5,-4.68
1321.65,94757.12,-414,-3.94
1322.2,94804.57,-406.7,-2.73
1322.75,94848.69,-408.4,-3.02
1323.3,94892.68,-415.4,-4.17
1323.85,94941.2,-410.8,-3.41
1324.4,94986.93,-412.1,-3.63
1324.95,95033.77,-416.9,-4.42
1325.5,95083.44,-415.2,-4.14
1326.05,95132.43,-415,-4.11
1326.6,95181.6,-419.3,-4.82
1327.15,95233.57,-422.7,-5.38
1327.7,95288.26,-420,-4.94
1328.25,95341.08,-420.6,-5.03
1328.8,95394.45,-422.4,-5.33
1329.35,95448.86,-420.3,-4.98
1329.9,95502.1,-419.9,-4.92
1330.45,95555.35,-422.6,-5.36
1331,95608.96,-417.6,-4.54
1331.55,95661.34,-420.5,-5.02
1332.1,95714.35,-422,-5.26
1332.65,95767.38,-415.7,-4.22
1333.2,95818.85,-420.2,-4.96
1333.75,95871.43,-422.2,-5.3
1334.3,95923.68,-409.7,-3.23
1334.85,95972.27,-419.1,-4.78
1335.4,96023.93,-425.6,-5.86
1335.95,96079.34,-415.2,-4.14
1336.5,96130.17,-419.2,-4.8
1337.05,96181.8,-416.3,-4.32
1337.6,96231.77,-412.7,-3.73
1338.15,96279.99,-418,-4.6
1338.7,96331.2,-421.8,-5.23
1339.25,96385.31,-419.6,-4.87
1339.8,96438.05,-412.5,-3.69
1340.35,96485.79,-425.5,-5.84
1340.9,96543.02,-421.3,-5.15
1341.45,96597.23,-418.8,-4.73
1342,96648.96,-413.3,-3.82
1342.55,96698.75,-423.2,-5.46
1343.1,96752.36,-416.1,-4.29
1343.65,96804.03,-419.2,-4.8
1344.2,96855.49,-415.8,-4.24
1344.75,96906.44,-418.7,-4.72
1345.3,96958.09,-418.6,-4.7
1345.85,97011.4,-424.7,-5.71
1346.4,97064.92,-411.7,-3.56
1346.95,97115.91,-421.1,-5.11
1347.5,97167.23,-415.7,-4.22
1348.05,97218.23,-416.3,-4.32
1348.6,97268.36,-415.7,-4.22
1349.15,97318.54,-416.6,-4.37
1349.7,97368.76,-415.4,-4.17
1350.25,97419.64,-420.7,-5.05
1350.8,97472.44,-419.4,-4.83
1351.35,97524.65,-413.4,-3.84
1351.9,97575.18,-423.2,-5.46
1352.45,97629.36,-418.8,-4.73
1353,97682.42,-419.6,-4.86
1353.55,97735.06,-410.8,-3.41
1354.1,97782.53,-415.6,-4.2
1354.65,97832.45,-419.2,-4.8
1355.2,97885.14,-421.2,-5.13
1355.75,97939.62,-420.6,-5.03
1356.3,97993.61,-419.1,-4.78
